100.00,7579874.89,1203958.36,33.00,10.00,0.00
101.00,7579874.89,1203958.36,101.40,10.00,0.00
102.00,7579874.89,1203958.36,169.80,10.00,0.00
103.00,7579874.89,1203958.36,238.20,10.00,0.00
104.00,7579874.89,1203958.36,306.60,10.00,0.00
105.00,7579874.89,1203958.36,375.00,10.00,0.00
106.00,7579874.89,1203958.36,443.40,10.00,0.00
107.00,7579874.89,1203958.36,511.80,10.00,0.00
108.00,7579874.89,1203958.36,580.20,10.00,0.00
109.00,7579874.89,1203958.36,648.60,10.00,0.00
110.00,7579874.89,1213970.49,33.00,10.00,0.00
111.00,7579874.89,1213970.49,101.40,10.00,0.00
112.00,7579874.89,1213970.49,169.80,10.00,0.00
113.00,7579874.89,1213970.49,238.20,10.00,0.00
114.00,7579874.89,1213970.49,306.60,10.00,0.00
115.00,7579874.89,1213970.49,375.00,10.00,0.00
116.00,7579874.89,1213970.49,443.40,10.00,0.00
117.00,7579874.89,1213970.49,511.80,10.00,0.00
118.00,7579874.89,1213970.49,580.20,10.00,0.00
119.00,7579874.89,1213970.49,648.60,10.00,0.00
120.00,7579874.89,1223982.63,33.00,10.00,0.00
121.00,7579874.89,1223982.63,101.40,10.00,0.00
122.00,7579874.89,1223982.63,169.80,10.00,0.00
123.00,7579874.89,1223982.63,238.20,10.00,0.00
124.00,7579874.89,1223982.63,306.60,10.00,0.00
125.00,7579874.89,1223982.63,375.00,10.00,0.00
126.00,7579874.89,1223982.63,443.40,10.00,0.00
127.00,7579874.89,1223982.63,511.80,10.00,0.00
128.00,7579874.89,1223982.63,580.20,10.00,0.00
129.00,7579874.89,1223982.63,648.60,10.00,0.00
130.00,7579874.89,1233994.76,33.00,10.00,0.00
131.00,7579874.89,1233994.76,101.40,10.00,0.00
132.00,7579874.89,1233994.76,169.80,10.00,0.00
133.00,7579874.89,1233994.76,238.20,10.00,0.00
134.00,7579874.89,1233994.76,306.60,10.00,0.00
135.00,7579874.89,1233994.76,375.00,10.00,0.00
136.00,7579874.89,1233994.76,443.40,10.00,0.00
137.00,7579874.89,1233994.76,511.80,10.00,0.00
138.00,7579874.89,1233994.76,580.20,10.00,0.00
139.00,7579874.89,1233994.76,648.60,10.00,0.00
140.00,7579874.89,1244006.90,33.00,10.00,0.00
141.00,7579874.89,1244006.90,101.40,10.00,0.00
142.00,7579874.89,1244006.90,169.80,10.00,0.00
143.00,7579874.89,1244006.90,238.20,10.00,0.00
144.00,7579874.89,1244006.90,306.60,10.00,0.00
145.00,7579874.89,1244006.90,375.00,10.00,0.00
146.00,7579874.89,1244006.90,443.40,10.00,0.00
147.00,7579874.89,1244006.90,511.80,10.00,0.00
148.00,7579874.89,1244006.90,580.20,10.00,0.00
149.00,7579874.89,1244006.90,648.60,10.00,0.00
150.00,7579874.89,1254019.03,33.00,10.00,0.00
151.00,7579874.89,1254019.03,101.40,10.00,0.00
152.00,7579874.89,1254019.03,169.80,10.00,0.00
153.00,7579874.89,1254019.03,238.20,10.00,0.00
154.00,7579874.89,1254019.03,306.60,10.00,0.00
155.00,7579874.89,1254019.03,375.00,10.00,0.00
156.00,7579874.89,1254019.03,443.40,10.00,0.00
157.00,7579874.89,1254019.03,511.80,10.00,0.00
158.00,7579874.89,1254019.03,580.20,10.00,0.00
159.00,7579874.89,1254019.03,648.60,10.00,0.00
160.00,7579874.89,1264031.17,33.00,10.00,0.00
161.00,7579874.89,1264031.17,101.40,10.00,0.00
162.00,7579874.89,1264031.17,169.80,10.00,0.00
163.00,7579874.89,1264031.17,238.20,10.00,0.00
164.00,7579874.89,1264031.17,306.60,10.00,0.00
165.00,7579874.89,1264031.17,375.00,10.00,0.00
166.00,7579874.89,1264031.17,443.40,10.00,0.00
167.00,7579874.89,1264031.17,511.80,10.00,0.00
168.00,7579874.89,1264031.17,580.20,10.00,0.00
169.00,7579874.89,1264031.17,648.60,10.00,0.00
170.00,7579874.89,1274043.31,33.00,10.00,0.00
171.00,7579874.89,1274043.31,101.40,10.00,0.00
172.00,7579874.89,1274043.31,169.80,10.00,0.00
173.00,7579874.89,1274043.31,238.20,10.00,0.00
174.00,7579874.89,1274043.31,306.60,10.00,0.00
175.00,7579874.89,1274043.31,375.00,10.00,0.00
176.00,7579874.89,1274043.31,443.40,10.00,0.00
177.00,7579874.89,1274043.31,511.80,10.00,0.00
178.00,7579874.89,1274043.31,580.20,10.00,0.00
179.00,7579874.89,1274043.31,648.60,10.00,0.00
180.00,7579874.89,1284055.44,33.00,10.00,0.00
181.00,7579874.89,1284055.44,101.40,10.00,0.00
182.00,7579874.89,1284055.44,169.80,10.00,0.00
183.00,7579874.89,1284055.44,238.20,10.00,0.00
184.00,7579874.89,1284055.44,306.60,10.00,0.00
185.00,7579874.89,1284055.44,375.00,10.00,0.00
186.00,7579874.89,1284055.44,443.40,10.00,0.00
187.00,7579874.89,1284055.44,511.80,10.00,0.00
188.00,7579874.89,1284055.44,580.20,10.00,0.00
189.00,7579874.89,1284055.44,648.60,10.00,0.00
190.00,7579874.89,1294067.58,33.00,10.00,0.00
191.00,7579874.89,1294067.58,101.40,10.00,0.00
192.00,7579874.89,1294067.58,169.80,10.00,0.00
193.00,7579874.89,1294067.58,238.20,10.00,0.00
194.00,7579874.89,1294067.58,306.60,10.00,0.00
195.00,7579874.89,1294067.58,375.00,10.00,0.00
196.00,7579874.89,1294067.58,443.40,10.00,0.00
197.00,7579874.89,1294067.58,511.80,10.00,0.00
198.00,7579874.89,1294067.58,580.20,10.00,0.00
199.00,7579874.89,1294067.58,648.60,10.00,0.00
200.00,7591975.90,1203958.36,33.00,10.00,0.00
201.00,7591975.90,1203958.36,101.40,10.00,0.00
202.00,7591975.90,1203958.36,169.80,10.00,0.00
203.00,7591975.90,1203958.36,238.20,10.00,0.00
204.00,7591975.90,1203958.36,306.60,10.00,0.00
205.00,7591975.90,1203958.36,375.00,10.00,0.00
206.00,7591975.90,1203958.36,443.40,10.00,0.00
207.00,7591975.90,1203958.36,511.80,10.00,0.00
208.00,7591975.90,1203958.36,580.20,10.00,0.00
209.00,7591975.90,1203958.36,648.60,10.00,0.00
210.00,7591975.90,1213970.49,33.00,10.00,0.00
211.00,7591975.90,1213970.49,101.40,10.00,0.00
212.00,7591975.90,1213970.49,169.80,10.00,0.00
213.00,7591975.90,1213970.49,238.20,10.00,0.00
214.00,7591975.90,1213970.49,306.60,10.00,0.00
215.00,7591975.90,1213970.49,375.00,10.00,0.00
216.00,7591975.90,1213970.49,443.40,10.00,0.00
217.00,7591975.90,1213970.49,511.80,10.00,0.00
218.00,7591975.90,1213970.49,580.20,10.00,0.00
219.00,7591975.90,1213970.49,648.60,10.00,0.00
220.00,7591975.90,1223982.63,33.00,10.00,0.00
221.00,7591975.90,1223982.63,101.40,10.00,0.00
222.00,7591975.90,1223982.63,169.80,10.00,0.00
223.00,7591975.90,1223982.63,238.20,10.00,0.00
224.00,7591975.90,1223982.63,306.60,10.00,0.00
225.00,7591975.90,1223982.63,375.00,10.00,0.00
226.00,7591975.90,1223982.63,443.40,10.00,0.00
227.00,7591975.90,1223982.63,511.80,10.00,0.00
228.00,7591975.90,1223982.63,580.20,10.00,0.00
229.00,7591975.90,1223982.63,648.60,10.00,0.00
230.00,7591975.90,1233994.76,33.00,10.00,0.00
231.00,7591975.90,1233994.76,101.40,10.00,0.00
232.00,7591975.90,1233994.76,169.80,10.00,0.00
233.00,7591975.90,1233994.76,238.20,10.00,0.00
234.00,7591975.90,1233994.76,306.60,10.00,0.00
235.00,7591975.90,1233994.76,375.00,10.00,0.00
236.00,7591975.90,1233994.76,443.40,10.00,0.00
237.00,7591975.90,1233994.76,511.80,10.00,0.00
238.00,7591975.90,1233994.76,580.20,10.00,0.00
239.00,7591975.90,1233994.76,648.60,10.00,0.00
240.00,7591975.90,1244006.90,33.00,10.00,0.00
241.00,7591975.90,1244006.90,101.40,10.00,0.00
242.00,7591975.90,1244006.90,169.80,10.00,0.00
243.00,7591975.90,1244006.90,238.20,10.00,0.00
244.00,7591975.90,1244006.90,306.60,10.00,0.00
245.00,7591975.90,1244006.90,375.00,10.00,0.00
